image_path,emotion
FER2013_images\training\707_2.png,2
FER2013_images\training\708_5.png,5
FER2013_images\training\709_2.png,2
FER2013_images\training\710_2.png,2
FER2013_images\training\711_4.png,4
FER2013_images\training\712_2.png,2
FER2013_images\training\713_3.png,3
FER2013_images\training\714_0.png,0
FER2013_images\training\715_6.png,6
FER2013_images\training\716_0.png,0
FER2013_images\training\717_6.png,6
FER2013_images\training\718_2.png,2
FER2013_images\training\719_5.png,5
FER2013_images\training\720_3.png,3
FER2013_images\training\721_3.png,3
FER2013_images\training\722_3.png,3
FER2013_images\training\723_2.png,2
FER2013_images\training\724_3.png,3
FER2013_images\training\725_6.png,6
FER2013_images\training\726_5.png,5
FER2013_images\training\727_0.png,0
FER2013_images\training\728_3.png,3
FER2013_images\training\729_2.png,2
FER2013_images\training\730_4.png,4
FER2013_images\training\731_2.png,2
FER2013_images\training\732_6.png,6
FER2013_images\training\733_4.png,4
FER2013_images\training\734_3.png,3
FER2013_images\training\735_4.png,4
FER2013_images\training\736_3.png,3
FER2013_images\training\737_3.png,3
FER2013_images\training\738_3.png,3
FER2013_images\training\739_2.png,2
FER2013_images\training\740_0.png,0
FER2013_images\training\741_2.png,2
FER2013_images\training\742_5.png,5
FER2013_images\training\743_0.png,0
FER2013_images\training\744_2.png,2
FER2013_images\training\745_2.png,2
FER2013_images\training\746_2.png,2
FER2013_images\training\747_6.png,6
FER2013_images\training\748_2.png,2
FER2013_images\training\749_4.png,4
FER2013_images\training\750_5.png,5
FER2013_images\training\751_5.png,5
FER2013_images\training\752_4.png,4
FER2013_images\training\753_4.png,4
FER2013_images\training\754_4.png,4
FER2013_images\training\755_2.png,2
FER2013_images\training\756_0.png,0
FER2013_images\training\757_6.png,6
FER2013_images\training\758_1.png,1
FER2013_images\training\759_5.png,5
FER2013_images\training\760_3.png,3
FER2013_images\training\761_4.png,4
FER2013_images\training\762_6.png,6
FER2013_images\training\763_5.png,5
FER2013_images\training\764_0.png,0
FER2013_images\training\765_0.png,0
FER2013_images\training\766_6.png,6
FER2013_images\training\767_6.png,6
FER2013_images\training\768_2.png,2
FER2013_images\training\769_2.png,2
FER2013_images\training\770_4.png,4
FER2013_images\training\771_5.png,5
FER2013_images\training\772_6.png,6
FER2013_images\training\773_2.png,2
FER2013_images\training\774_3.png,3
FER2013_images\training\775_3.png,3
FER2013_images\training\776_4.png,4
FER2013_images\training\777_5.png,5
FER2013_images\training\778_0.png,0
FER2013_images\training\779_4.png,4
FER2013_images\training\780_3.png,3
FER2013_images\training\781_6.png,6
FER2013_images\training\782_4.png,4
FER2013_images\training\783_5.png,5
FER2013_images\training\784_5.png,5
FER2013_images\training\785_6.png,6
FER2013_images\training\786_3.png,3
FER2013_images\training\787_6.png,6
FER2013_images\training\788_5.png,5
FER2013_images\training\789_5.png,5
FER2013_images\training\790_0.png,0
FER2013_images\training\791_3.png,3
FER2013_images\training\792_3.png,3
FER2013_images\training\793_6.png,6
FER2013_images\training\794_2.png,2
FER2013_images\training\795_6.png,6
FER2013_images\training\796_5.png,5
FER2013_images\training\797_0.png,0
FER2013_images\training\798_4.png,4
FER2013_images\training\799_2.png,2
FER2013_images\training\800_4.png,4
FER2013_images\training\801_6.png,6
FER2013_images\training\802_3.png,3
FER2013_images\training\803_3.png,3
FER2013_images\training\804_2.png,2
FER2013_images\training\805_4.png,4
FER2013_images\training\806_2.png,2
FER2013_images\training\807_1.png,1
FER2013_images\training\808_4.png,4
FER2013_images\training\809_3.png,3
FER2013_images\training\810_3.png,3
FER2013_images\training\811_2.png,2
FER2013_images\training\812_4.png,4
FER2013_images\training\813_3.png,3
FER2013_images\training\814_5.png,5
FER2013_images\training\815_2.png,2
FER2013_images\training\816_0.png,0
FER2013_images\training\817_3.png,3
FER2013_images\training\818_4.png,4
FER2013_images\training\819_5.png,5
FER2013_images\training\820_3.png,3
FER2013_images\training\821_3.png,3
